id;numero;date_introduction;observations;bl_suppression;date_suppression;date_modification;date_creation;gp_situation_id;quantite;pi_pi_id;produit_id;date_livraison;id_fiche;a_planifier;site_id;quantite_planifie;type;informations_stock;informations_affectation;type_ordre;lieu_livraison;numero_interne;prix_unitaire;client;designation;reference;qt_coupe;qt_eng;qt_sort;qt_fini;qt_colis;qt_exp;qt_sup1;qt_sup2;qt_sup3;remarques_prod;semaine;model_label;delivered_third;status_code;ordre_type;ligne_production;ehd;chd (date prévue);date_creation_commande;cdd (date réelle);has_planning;status_planning;id_fiche_complement;sf_produit_id;process_produit;date_sortie;inspection;sites_ids;code_conception_produit;traitement_produit;go_prod;theme_id;sites_ids_gpro_col;nombre_colis_refuses;nombre_colis_controles;resultat_controle_interne;nombre_colis;commentaire_qte;date_fin_controle_interne;status_export;implantation;modifier_qt_sortie_manuel;controle_interne;saison_designation;as_export;qte_sortie_chaine;test_labo;maj_qte_of_avec_importation;quantite_from_detail;split;commande_mere;commande_mere_automatique;qte_prise_prod;qte_recue_prod;qte_prise_coupe;qte_recu_coupe;qte_prete_coupe;division_coupe;division_fini;go_shippement;generation;maj_lieu_livraison;nombre_colis_refuses_aql_tournant;nombre_colis_controles_aql_tournant;week_cdd;qte_entree_dos;qte_sortie_dos;qte_entree_devant;qte_sortie_devant;qte_entree_assemblage;qte_entree_finition;qte_entree_preparation;qte_sortie_preparation;qte_supp4;qte_supp1;qte_supp2;qte_supp3;qte_finition;effectif_dos;efficience_dos;effectif_devant;efficience_devant;effectif_assemblage;efficience_assemblage;effectif_preparation;efficience_preparation;qte_sortie_assemblage;premiere_genration_of;code_njp;temps_total_coupe;temps_total_montage;temps_total_emballage;temps_total_preparation;temps_total_controle;temps_total_dos;temps_total_devant;temps_total_assemblage;temps;temps_theorique;efficience_finition;temps_total_finition;effectif_finition;shot;pbd;ped;shipped_qty;remaining_qty;delivered_qty;responsable;customer;ordre_coupe;supplier;laveur;ligne_produit_id;spl_id;spl_designation;magasin_id_tissu;magasin_id_fourniture_conf;magasin_id_fourniture_cond;gp_importation_id;picking_date;efficience;effectif;reservation_tissu;reservation_fourniture;bon_commande;qte_trt;qte_eclatement;qte_sortie_coupe;temps_coupe;temps_matelassage;qte_psc_sortie_controle;qte_psc_entree_finition;qte_psc_sortie_finition;qte_psc_sortie_chaine;qte_psc_engagement;qte_psc_entree_cond;qte_psc_sortie_cond;has_resrvation_global;generateur_fiche_colisage;has_resrvation_global_tissu;has_resrvation_global_fourniture;date_reservation_globale;qte_envoi_intervenant
30345;112565;10/06/2025;;f;;;;;1317;43;1747;24/06/2025;;t;;0;Ferme;;;;;112565;;DMT;SANS MANCHE;63761UU;0;0;0;0;0;0;;;;;;;;V;;;24/06/2025;24/06/2025;;24/06/2025;t;Non Planifier;;46;;;non;;63761UU;;;194;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;1317;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;5.3;1.49;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;;;;
30346;4522931864;10/06/2025;;f;;;;;1032;14;1514;23/02/2026;;t;;0;Ferme;;;WoDo;CAC Molins;;5.73;PROXY;DOLI WIRE PRINT-BLACK;8357547;0;0;0;0;0;0;;;;;;;CAC Molins;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;19;;;non;;110426;;;6;;0;0;;29;;;Standard;NON;f;;;;0;NON;f;1032;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30347;4522927321;10/06/2025;;f;;;;;2010;14;1896;23/02/2026;;t;;0;Ferme;;;WoDo;CAC ROUVIGNIES;;4.36;PROXY;ELENA FOLK PUSH-UP UNI;8917877;0;0;0;0;0;0;;;;;;;CAC ROUVIGNIES;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;21;;;non;;329734;;;6;;0;0;;33;;;Standard;NON;f;;;;0;NON;f;2010;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30348;4522931084;10/06/2025;;f;;;;;1520;14;1540;23/02/2026;;t;;0;Ferme;;;WoDo;CAC ROUVIGNIES;;6.48;PROXY;ASTRID;8731405;0;0;0;0;0;0;;;;;;;CAC ROUVIGNIES;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;11;;;non;;324579;;;6;;0;0;;38;;;Standard;NON;f;;;;0;NON;f;1520;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30349;4522928874;10/06/2025;;f;;;;;1520;14;1540;23/02/2026;;t;;0;Ferme;;;WoDo;CAC Molins;;6.48;PROXY;ASTRID;8731405;0;0;0;0;0;0;;;;;;;CAC Molins;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;11;;;non;;324579;;;6;;0;0;;38;;;Standard;NON;f;;;;0;NON;f;1520;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30350;4522931507;10/06/2025;;f;;;;;2010;14;1896;23/02/2026;;t;;0;Ferme;;;WoDo;CAC Molins;;4.36;PROXY;ELENA FOLK PUSH-UP UNI;8917877;0;0;0;0;0;0;;;;;;;CAC Molins;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;21;;;non;;329734;;;6;;0;0;;33;;;Standard;NON;f;;;;0;NON;f;2010;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30351;4522928127;10/06/2025;;f;;;;;1032;14;1514;23/02/2026;;t;;0;Ferme;;;WoDo;CAC ROUVIGNIES;;5.73;PROXY;DOLI WIRE PRINT-BLACK;8357547;0;0;0;0;0;0;;;;;;;CAC ROUVIGNIES;Order to confirm;Replenishement;;23/02/2026;23/02/2026;06/06/2025;04/03/2026;t;Non Planifier;;19;;;non;;110426;;;6;;0;0;;29;;;Standard;NON;f;;;;0;NON;f;1032;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;;;;;;f;;;;;;;;;;;;;;;;;;
30319;112439;03/06/2025;;f;;;;;1334;43;1805;17/06/2025;;t;;0;Ferme;;;;;112439;;DMT;Tee-SHIRT HOMME  MANCHE LONGUE;04103UU-T;0;0;0;0;0;0;;;;;;;;V;;;17/06/2025;17/06/2025;;17/06/2025;t;Non Planifier;;18;;;non;;04103UU;;;194;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;1334;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;4.61;1.49;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;f;f;;
30320;112366;27/05/2025;;f;;;;;891;43;2007;17/06/2025;;t;;0;Ferme;;;;;112366;;DMT;CHEMISE MANCHES LONGUE;83912UU;0;0;0;0;0;0;;;;;;;;V;;;17/06/2025;17/06/2025;;17/06/2025;t;Non Planifier;;46;;;non;;83912UU;;;264;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;891;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;5.6;1.89;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;f;f;;
30321;112546;04/06/2025;;f;;;;;1156;43;1749;17/06/2025;;t;;0;Ferme;;;;;112546;;DMT;Collant ss pied;71200UU;0;0;0;0;0;0;;;;;;;;V;;;17/06/2025;17/06/2025;;17/06/2025;t;Non Planifier;;27;;;non;;71200UU;;;194;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;1156;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;4.35;1.59;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;f;f;;
30203;4522753959;02/05/2025;;f;;;;;918;14;1894;06/06/2025;;t;;0;Ferme;;;WoDo;BOOSTER LATAM;;4.25;PROXY TUNISIE;DARIA TRIANGLE ALL OVER;8915765;0;0;30;0;0;0;;;;;;;BOOSTER LATAM;Order to confirm;Replenishement;;06/06/2025;06/06/2025;25/04/2025;05/08/2025;t;Non Planifier;;19;;;non;;110425;;;6;;0;0;;45;;;Standard;NON;f;;;;30;NON;f;918;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;03/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;0;0;0;0;;0;0;;1;f;f;;
29715;2001263257/2;03/03/2025;;f;;;;;16930;566;1985;11/04/2025;;t;;0;Ferme;;;;;2001263257/2;;CALZEDONIA;SLIP(TAILLE 12-14);0BAB1862SL/GT;0;0;0;0;0;0;;;;;;;;V;;;11/04/2025;11/04/2025;;15/04/2025;t;Non Planifier;;23;;;non;;0BAB1862SL/GT;;;240;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;16930;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;04/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
29714;2001263257/1;03/03/2025;;f;;;;;21070;566;1984;11/04/2025;;t;;0;Ferme;;;;;2001263257/1;;CALZEDONIA;SLIP(TAILLE 4-6-8-10);0BAB1862SL/PT;0;0;0;0;0;0;;;;;;;;V;;;11/04/2025;11/04/2025;;15/04/2025;t;Non Planifier;;23;;;non;;0BAB1862SL/PT;;;240;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;21070;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;04/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
29542;4300ELENA(HA212DA);26/12/2024;;f;;;;;97822;13;1939;29/04/2025;;t;;0;Ferme;;;;;4300ELENA(HA212DA);1.3;CONFECTION IDEALE DU SUD;BONNET ELENA;4300ELENA(HA212DA);0;0;0;0;0;90905;;;;;;;;V;;;29/04/2025;29/04/2025;;29/04/2025;t;Non Planifier;;31128150;;;non;;4300ELENA(HA212DA);;;6;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;97822;f;;;0;0;0;0;0;;;non;;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;5;f;f;;
26847;2001020861/167;13/09/2023;;f;;;;;4680;566;1623;22/12/2023;;t;;0;Ferme;;;;;2001020861;;CALZEDONIA;BRASILIANO COTONE/PIZZO , L , 031 GRIGIO MELANGE CHIAR;1SB5060;0;0;0;0;0;0;;;;;;;;D;;;22/12/2023;22/12/2023;13/09/2023;22/12/2023;t;Non Planifier;;34;;;non;;1SB5060;;;232;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;4680;f;;;0;0;0;0;0;;;non;;f;0;0;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
30280;4522841328;15/05/2025;;f;;;;;2940;14;1897;09/06/2025;;t;;0;Ferme;;;WoDo;CAC Molins;;4.36;PROXY TUNISIE;ELENA PUSH UP ALL OVER;8917872;0;0;0;0;0;0;;;;;;;CAC Molins;Order to confirm;Replenishement;;09/06/2025;09/06/2025;14/05/2025;18/06/2025;t;Non Planifier;;21;;;non;;115427;;;6;;0;0;;42;;;Standard;NON;f;;;;0;NON;f;2940;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;02/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
30307;112527;27/05/2025;;f;;;;;1279;43;1751;10/06/2025;;t;;0;Ferme;;;;;112527;;DMT;SOUS PUL;73909UU;0;0;0;0;0;0;;;;;;;;V;;;10/06/2025;10/06/2025;;10/06/2025;t;Non Planifier;;4;;;non;;73909UU;;;245;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;1279;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;5.35;0.79;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;;;;;;;;;;;;;;1;f;f;;
29723;2001263257/3;04/03/2025;;f;;;;;21070;566;1986;11/04/2025;;t;;0;Ferme;;;;;2001263257/3;;CALZEDONIA;BRASSIERE(TAILLE 4-6-8-10);0BAB1862BR/PT;0;0;0;0;0;0;;;;;;;;V;;;11/04/2025;11/04/2025;;15/04/2025;t;Non Planifier;;5;;;non;;0BAB1862BR/PT;;;240;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;21070;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;04/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
26610;2000998584/68;01/08/2023;;f;;;;;2580;566;1612;27/10/2023;;t;;0;Ferme;;;;;2000998584;;CALZEDONIA;CULOTTE PIZZO , XL , 019 BLACK;1SC060;0;0;0;0;0;0;;;;;;;;D;;;27/10/2023;27/10/2023;01/08/2023;27/10/2023;t;Non Planifier;;622554;;;non;;1SC060;;;232;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;2580;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
29724;2001263257/4;04/03/2025;;f;;;;;16930;566;1987;11/04/2025;;t;;0;Ferme;;;;;2001263257/4;;CALZEDONIA;BRASSIERE(TAILLE 12-14);0BAB1862BR/GT;0;0;0;0;0;0;;;;;;;;V;;;11/04/2025;11/04/2025;;15/04/2025;t;Non Planifier;;5;;;non;;0BAB1862BR/GT;;;240;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;16930;f;;;0;0;0;0;0;;;non;t;f;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;04/06/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f;0;0;0;;;;;;;;;;;1;f;f;;
28001;2001071138-1;22/12/2023;;f;;;;;10410;566;1636;22/03/2024;;f;2;10410;Ferme;;;;ITALY;2001071138;0;CALZEDONIA;BRASILIANO COTONE;1SB05B;0;0;0;0;0;0;;;;;;;ITALY;V;;;22/03/2024;22/03/2024;10/11/2023;26/03/2023;t;Non Prod;;34;;;non;2;1SB05B;;;28;;0;0;;0;;;Standard;NON;f;;SS23;;0;NON;f;10410;f;;;0;0;0;0;0;;;non;;f;0;0;122024;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;0;3.59;0.38;0;0;;;;4.57;4.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
26641;2000998584/42;01/08/2023;;f;;;;;14100;566;1623;27/10/2023;;t;;0;Ferme;;;;;2000998584;;CALZEDONIA;BRASILIANO COTONE/PIZZO , S , 001 WHITE;1SB5060;0;0;0;0;0;0;;;;;;;;D;;;27/10/2023;27/10/2023;01/08/2023;27/10/2023;t;Non Planifier;;34;;;non;;1SB5060;;;232;;0;0;;0;;;Standard;NON;f;;;;0;NON;f;14100;f;;;0;0;0;0;0;;;non;;f;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;f;f;;
